speeker,date,title,Average sentence length,Average word lengt,Diffaculty Index,Percentage of 'We'
McCain,2008-07-10,Michigan,15.62962962962963,4.568720379146919,1.870748299319728,0.9478672985781991
McCain,2008-07-12,Senator McCain's Weekly Radio Address,19.044444444444444,4.408401400233372,1.373961218836565,1.4002333722287048
McCain,2008-07-14,California,20.726027397260275,4.495373430270985,1.494641384995878,0.9583608724388631
McCain,2008-07-15,"Remarks in Albuquerque, New Mexico",17.626262626262626,4.568481375358166,1.396978021978022,1.2034383954154728
McCain,2008-07-16,Ohio,18.190184049079754,4.568971332209106,1.2650878533231475,0.775716694772344
McCain,2008-07-19,Senator McCain's Weekly Radio Address,17.31111111111111,4.644415917843389,1.375,0.6418485237483954
McCain,2008-07-25,Colorado,17.029411764705884,4.423834196891192,1.4849785407725322,1.2435233160621761
McCain,2008-07-26,Remarks to the Americans with Disabilities Conference,20.142857142857142,4.416075650118203,1.1203007518796992,0.9456264775413712
McCain,2008-07-26,Senator McCain's Weekly Radio Address,19.27906976744186,4.299155609167672,1.2225201072386058,0.9650180940892641
McCain,2008-08-01,Florida,18.43708609271523,4.613146551724138,1.267100977198697,0.7543103448275862
McCain,2008-08-02,Senator McCain's Weekly Radio Address,16.76923076923077,4.30848623853211,1.6504559270516717,0.6880733944954129
McCain,2008-08-06,Ohio,14.317073170731707,4.289608177172061,1.3959183673469389,2.555366269165247
McCain,2008-08-06,Ohio,14.365853658536585,4.288624787775891,1.4040816326530612,2.5466893039049237
McCain,2008-08-08,Ohio,14.9625,4.121971595655806,1.4478527607361964,1.5873015873015872
McCain,2008-08-09,Senator McCain's Weekly Radio Address,17.73170731707317,4.37414030261348,1.4982817869415808,0.6877579092159559
McCain,2008-08-11,Remarks to the 87th Annual Convention of the Disabled American Veterans in Las Vegas,20.448275862068964,4.460370994940978,1.2851637764932562,0.7166947723440135
McCain,2008-08-11,Pennsylvania,19.75438596491228,5.130550621669627,1.4966740576496673,0.3552397868561279
McCain,2008-08-18,Florida,21.312883435582823,4.454807138744963,1.2825229960578186,0.7772020725388601
McCain,2008-08-19,Remarks on an Oil Rig Platform in the Gulf of Mexico,14.863636363636363,4.440366972477064,1.7024793388429753,0.6116207951070336
McCain,2008-08-23,Senator McCain's Weekly Radio Address,21.323529411764707,4.582068965517242,1.4166666666666667,0.27586206896551724
McCain,2008-08-26,Arizona,21.838028169014084,4.455981941309255,1.2261306532663316,0.9029345372460496
McCain,2008-08-29,Ohio,10.64367816091954,4.239740820734341,1.392764857881137,0.32397408207343414
McCain,2008-08-31,Roundtable Interview on Fox News Sunday,12.442786069651742,4.138144742103159,1.6465608465608466,1.1995201919232308
McCain,2008-09-13,Senator McCain's Weekly Radio Address,23.058823529411764,4.561224489795919,1.3685800604229608,0.5102040816326531
McCain,2008-09-16,Florida,20.459016393442624,4.499198717948718,1.2166962699822381,1.0416666666666665
McCain,2008-09-16,"Interview with Kiran Chetry on CNN's ""American Morning""",18.53846153846154,4.457261410788382,1.41,1.4107883817427387
McCain,2008-09-17,Michigan,13.958333333333334,4.026865671641791,1.3426573426573427,1.4925373134328357
McCain,2008-09-18,Iowa,16.307692307692307,4.50188679245283,1.5603864734299517,0.8490566037735849
McCain,2008-09-19,Wisconsin,18.71323529411765,4.603536345776031,1.3199635369188696,0.550098231827112
McCain,2008-09-22,Pennsylvania,19.49230769230769,4.4648776637726915,1.3594040968342644,1.420678768745067
McCain,2008-09-23,Michigan,17.17142857142857,4.589018302828619,1.3294573643410852,0.8319467554076538
McCain,2008-09-24,Remarks on the Economic Crisis in New  York City,17.153846153846153,4.5,1.372340425531915,2.690582959641256
McCain,2008-09-25,Remarks to the Clinton Global Initiative in New York City,19.796610169491526,4.457619863013699,1.2163187855787476,1.4554794520547945
McCain,2008-09-28,Ohio,19.102941176470587,4.336412625096228,1.1868686868686869,0.6928406466512702
McCain,2008-09-29,Iowa,17.192307692307693,4.503355704697986,1.235,0.22371364653243847
McCain,2008-09-30,Iowa,17.8,4.687265917602996,1.3017241379310345,0.5617977528089888
McCain,2008-09-30,Maryland,22.246031746031747,4.465215840171245,1.320364238410596,1.1416339636104174
McCain,2008-10-01,Missouri,19.527272727272727,4.400837988826815,1.1394422310756973,2.1415270018621975
McCain,2008-10-04,Senator McCain's Weekly Radio Address,18.0,4.355750487329435,1.178343949044586,2.8265107212475633
McCain,2008-10-06,"Remarks in Albquerque, New Mexico",22.32456140350877,4.316699410609037,1.2990063233965674,0.550098231827112
McCain,2008-10-08,Pennsylvania,20.913978494623656,4.309511568123393,1.2254004576659039,0.4113110539845758
McCain,2008-10-08,"Interview with Sarah Palin by Sean Hannity on Fox News' ""Hannity &amp; Colmes""",17.18881118881119,4.304109031733116,1.5431971029487843,0.7526444263628967
McCain,2008-10-10,Wisconsin,17.5,4.247619047619048,1.2251655629139073,0.5952380952380952
McCain,2008-10-13,Virginia,14.107142857142858,4.069620253164557,1.3065693430656935,1.89873417721519
McCain,2008-10-13,"Interview with Dana Bash on CNN's ""The Situation Room""",14.742857142857142,4.272286821705427,1.3861271676300577,0.4844961240310077
McCain,2008-10-14,Pennsylvania,18.5,4.343402225755167,1.2687105500450857,1.669316375198728
McCain,2008-10-16,Remarks at the Al Smith Dinner in New York City,10.307692307692308,4.059701492537314,1.1967213114754098,0.0
McCain,2008-10-16,Pennsylvania,14.37190082644628,4.0897067280046,1.3125,1.897642323174238
McCain,2008-10-17,Florida,15.4609375,4.108640727640222,1.3337264150943395,1.8191005558362812
McCain,2008-10-18,Senator McCain's Weekly Radio Address,18.15,4.348484848484849,1.3344051446945338,0.6887052341597797
McCain,2008-10-18,"Remarks in Concord, North Carolina",15.6875,4.120517928286852,1.300114547537228,1.8426294820717133
McCain,2008-10-19,Interview with Chris Wallace on Fox News Sunday,13.173170731707318,4.1795963710424,1.5743565300285987,0.851694130716534
McCain,2008-10-20,Missouri,16.0859375,4.185041282175813,1.3265536723163842,1.8455560951918408
McCain,2008-10-22,"Remarks at St. Anslem College in Goffstown, New Hampshire",17.225806451612904,4.213483146067416,1.3946188340807175,0.7490636704119851
McCain,2008-10-24,Colorado,16.270676691729324,4.250462107208873,1.3394594594594595,2.1256931608133085
McCain,2008-10-27,Ohio,15.87378640776699,4.234250764525994,1.277158774373259,2.385321100917431
McCain,2008-10-27,Ohio,25.527272727272727,4.485042735042735,1.2285714285714286,1.1396011396011396
McCain,2008-10-28,Pennsylvania,14.085271317829458,4.201981287837094,1.3751633986928105,2.3115024766097965
McCain,2008-10-28,"Interview with Cindy McCain by Sean Hannity on Fox News' ""Hannity &amp; Colmes""",14.517684887459808,4.1694352159468435,1.6971326164874552,0.7530454042081949
McCain,2008-10-29,Florida,14.590551181102363,4.205612520237453,1.3695652173913044,2.212628170534269
McCain,2008-10-29,Interview with Larry King of CNN,9.625912408759124,4.138199052132701,1.64014014014014,0.9857819905213271
McCain,2008-10-30,Florida,18.3375,4.355146557600546,1.3175355450236967,0.8861622358554875
McCain,2008-10-31,Ohio,14.090909090909092,4.159677419354839,1.4473684210526316,2.311827956989247
McCain,2008-11-04,"Arizona
",12.653846153846153,4.3138297872340425,1.3883847549909256,1.3677811550151975
McCain,2008-11-04,Colorado,15.698924731182796,4.004109589041096,1.4333333333333333,1.9863013698630139
